"","INDEX_NR","INCIDENT_DATE","INCIDENT_MONTH","INCIDENT_YEAR","TIME","TIME_OF_DAY","AIRPORT_ID","AIRPORT","AIRPORT_LATITUDE","AIRPORT_LONGITUDE","RUNWAY","STATE","FAAREGION","LOCATION","OPID","OPERATOR","REG","FLT","AIRCRAFT","AMA","AMO","EMA","EMO","AC_CLASS","AC_MASS","TYPE_ENG","NUM_ENGS","ENG_1_POS","ENG_2_POS","ENG_3_POS","ENG_4_POS","PHASE_OF_FLIGHT","HEIGHT","SPEED","DISTANCE","SKY","PRECIPITATION","AOS","COST_REPAIRS","COST_OTHER","COST_REPAIRS_INFL_ADJ","COST_OTHER_INFL_ADJ","INGESTED_OTHER","INDICATED_DAMAGE","DAMAGE_LEVEL","STR_RAD","DAM_RAD","STR_WINDSHLD","DAM_WINDSHLD","STR_NOSE","DAM_NOSE","STR_ENG1","DAM_ENG1","ING_ENG1","STR_ENG2","DAM_ENG2","ING_ENG2","STR_ENG3","DAM_ENG3","ING_ENG3","STR_ENG4","DAM_ENG4","ING_ENG4","STR_PROP","DAM_PROP","STR_WING_ROT","DAM_WING_ROT","STR_FUSE","DAM_FUSE","STR_LG","DAM_LG","STR_TAIL","DAM_TAIL","STR_LGHTS","DAM_LGHTS","STR_OTHER","DAM_OTHER","OTHER_SPECIFY","EFFECT","EFFECT_OTHER","BIRD_BAND_NUMBER","SPECIES_ID","SPECIES","OUT_OF_RANGE_SPECIES","REMARKS","REMAINS_COLLECTED","REMAINS_SENT","WARNED","NUM_SEEN","NUM_STRUCK","SIZE","ENROUTE_STATE","NR_INJURIES","NR_FATALITIES","COMMENTS","REPORTED_NAME","REPORTED_TITLE","SOURCE","PERSON","LUPDATE","TRANSFER"
"1",778199,"2016-02-06",2,2016,"06:11","Night","KYIP","WILLOW RUN ARPT",42.23793,-83.53041,"5R/23L","MI","AGL",NA,"JUS","USA JET AIRLINES","N196US",196,"DC-9-10","583",19,34,10,"A",4,"D",2,5,5,NA,NA,"Landing Roll",0,70,0,"No Cloud","None",NA,NA,NA,NA,NA,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,"None",NA,NA,"R2001","Snowy owl",0,"NO DMG. JUST IMPACT NOISE ABOVE CENTER WINGSHIELD DURING DECELERATION ON RWY.",0,0,"Yes","1","1","Large",NA,NA,NA,"2016-2-7-072613 AND ONE MAIL IN 5200-7 /Legacy Record 370719/","REDACTED","REDACTED","FAA Form 5200-7-E","Pilot","2016-08-12",0
"2",778410,"2016-01-21",1,2016,NA,NA,"KPWM","PORTLAND INTL JETPORT (ME)",43.64617,-70.30875,"11/29","ME","ANE",NA,"UNK","UNKNOWN",NA,NA,"UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"R2001","Snowy owl",0,"DAY. FOUND DURING MORNING FLD INSPN. NO STRIKE REPORTED. BIRD REMAINS GIVEN TO WS.",1,0,"Unknown",NA,"1","Large",NA,NA,NA,"2016-1-26-203434 /Legacy Record 371053/","REDACTED","REDACTED","FAA Form 5200-7-E","Carcass Found","2016-08-12",0
"3",778432,"2016-01-27",1,2016,NA,NA,"KBOS","GENERAL EDWARD LAWRENCE LOGAN INTL ARPT",42.36435,-71.00518,"27","MA","ANE",NA,"UNK","UNKNOWN",NA,NA,"UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"R2001","Snowy owl",0,"1115 DAY. WS FOUND REMAINS DURING A RWY CK OF 27 AT 33L APPROX 10 FEET OFF THE PAVEMENT IN A SMALL SNOW BANK. NO STRIKE RPEORTED.",1,0,"Unknown",NA,"1","Large",NA,NA,NA,"2016-2-3-124125 /Legacy Record 371075/","REDACTED","REDACTED","FAA Form 5200-7-E","Carcass Found","2016-08-12",0
"4",778870,"2016-03-03",3,2016,NA,NA,"KMDW","CHICAGO MIDWAY INTL ARPT",41.78598,-87.75242,"31C","IL","AGL",NA,"UNK","UNKNOWN",NA,NA,"UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"R2001","Snowy owl",0,"300 NIGHT. FOUND AN INJURED SNOWY OWL BTWN RWY 31C AND 4R OVERNIGHT ON 3/3/16. WS CAME IN AND CAUGHT THE INJURED BIRD ANDMADE ID. WS MADE ARRANGEMENTS TO TAKE THE INJURED BIRD TO A WILDLIFE REHABILITATION CENTER. NO STRIKE REPORTED.",1,0,"Unknown",NA,"1","Large",NA,NA,NA,"2016-3-3-122633 /Legacy Record 371727/","REDACTED","REDACTED","FAA Form 5200-7-E","Carcass Found","2016-09-01",0
"5",778997,"2016-03-17",3,2016,NA,NA,"KBOS","GENERAL EDWARD LAWRENCE LOGAN INTL ARPT",42.36435,-71.00518,NA,"MA","ANE",NA,"UNK","UNKNOWN",NA,NA,"UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"R2001","Snowy owl",0,"1200 DAY. FOUND DURING ROUTINE CK BY MASSPORT OPS. NO STRIKE REPORTED.",1,0,"Unknown",NA,"1","Large",NA,NA,NA,"2016-3-23-100129 /Legacy Record 371891/","REDACTED","REDACTED","FAA Form 5200-7-E","Carcass Found","2016-09-01",0
"6",779257,"2016-04-06",4,2016,NA,NA,"KBOS","GENERAL EDWARD LAWRENCE LOGAN INTL ARPT",42.36435,-71.00518,"33L","MA","ANE",NA,"UNK","UNKNOWN",NA,NA,"UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"R2001","Snowy owl",0,"715 DAY. FOUND DURING ROUTINE INSPN ON RWY 33L SHOULDER. NO REPORTED STRIKES TO TOWER OR OPS.",1,0,"Unknown",NA,"1","Large",NA,NA,NA,"2016-4-6-140658 /Legacy Record 372205/","REDACTED","REDACTED","FAA Form 5200-7-E","Carcass Found","2016-10-14",0
"7",779378,"2016-04-13",4,2016,"20:45","Night","KGFK","GRAND FORKS INTL",47.94926,-97.17611,"17L","ND","AGL",NA,"BUS","BUSINESS","N48TC",NA,"RAYTHEON 390","748",3,46,1,"A",2,"D",2,5,5,NA,NA,"Approach",NA,NA,NA,"Some Cloud","None",NA,NA,NA,NA,NA,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"PART NOT REPTD","None",NA,NA,"R2001","Snowy owl",0,"CAN NOT IDENTIFY POINT OF IMPACT ON A/C.",0,0,"Unknown","1","1","Large",NA,NA,NA,"2016-4-13-222758 OPERATOR /OWNER   TOOL CRIB AERO INC /Legacy Record 372362/","REDACTED","REDACTED","FAA Form 5200-7-E","Airport Operations","2016-10-14",0
"8",785072,"2016-02-16",2,2016,"09:14","Day","KBOS","GENERAL EDWARD LAWRENCE LOGAN INTL ARPT",42.36435,-71.00518,"22R","MA","ANE",NA,"DAL","DELTA AIR LINES","N767NC",NA,"DC-9-50","583",23,34,10,"A",4,"D",2,5,5,NA,NA,"Take-off Run",0,130,0,"Some Cloud","None",NA,NA,NA,NA,NA,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"PART NOT REPTD","None",NA,NA,"R2001","Snowy owl",0,"REMAINS FOUND ON 22R C/L AT 15R INTXN. NO DMG REPORTED.",1,0,"Yes","1","1","Large",NA,NA,NA,"2016-2-17-111628, FAA Form 5200-7-E, MOR_NoNewInfo /Legacy Record 380332/","REDACTED","REDACTED","Multiple","Airport Operations","2016-08-12",0
"9",787085,"2016-12-14",12,2016,"06:24",NA,"KLGA","LA GUARDIA ARPT",40.77724,-73.87261,"4","NY","AEA",NA,"UAL","UNITED AIRLINES","N14219",343,"B-737-800","148",43,10,1,"A",4,"D",2,1,1,NA,NA,"Departure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"N",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"None",NA,NA,"R2001","Snowy owl",0,"Pilot/crew reported that strike occurred on departure from KLGA. Remains collected on arrival to KDEN. No damage reported, ingestion through #1 Engine.Flight departed LGA on RWY 04 at 06:24L",1,1,"Unknown",NA,"1","Large",NA,NA,NA,"2017-1-13-160037, R2 /Legacy Record 382481/","REDACTED","REDACTED","FAA Form 5200-7-E","Airport Operations","2018-04-20",0
"10",787325,"2017-02-07",2,2017,"08:00","Night","KDTW","DETROIT METRO WAYNE COUNTY ARPT",42.21206,-83.34884,"21L","MI","AGL",NA,"EDV","ENDEAVOR AIR","N306PQ",4003,"CRJ900","188",17,22,4,"A",4,"D",2,5,5,NA,NA,"Landing Roll",0,NA,0,"Some Cloud","None",NA,NA,NA,NA,NA,0,1,"M?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,"None",NA,NA,"R2001","Snowy owl",0,"Snarge submitted by Wildlife Biologist.",1,1,"Yes","1","1","Large",NA,NA,NA,"2017-2-10-135104, R1 /Legacy Record 382835/","REDACTED","REDACTED","FAA Form 5200-7-E","Airport Operations","2018-04-20",0
